disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
3100,,,,,8455544.81,8416051.06,39493.75,2023-10-05T00:00:00.000Z,,,f898a2ebee442f8313a1e23da5d92c5a14c90f82,2023-10-05T06:03:23.698Z,29e429ca-ff03-4077-b515-8c28ac25d0de
3101,,,,,644697.67,644697.67,,2023-10-05T00:00:00.000Z,,,21fbf7d566396c1ba02a797b168b49127c35ffcc,2023-10-05T06:03:23.698Z,b5c6be33-2320-4cef-bb27-533bc41b0d3f
3102,,,,,167897.12,167897.12,,2023-10-05T00:00:00.000Z,,,bbfab5604d0757a65cb1a9b0b5ce880438add28d,2023-10-05T06:03:23.698Z,71f6d6b9-0e7a-412f-8820-0a63750163c7
3103,,,,,1314587.71,1314359.71,163,2023-10-05T00:00:00.000Z,,,46766e718cfc8b5955df265c9da63bc20b215726,2023-10-05T06:03:23.698Z,8f2a7a62-b48a-4135-a5a7-cb9d79c7b0c7
3104,,,,,1808308.18,1808308.18,,2023-10-05T00:00:00.000Z,,,68e3898de9db6355e75d9910f47f5942c033088a,2023-10-05T06:03:23.698Z,aeed61f3-7234-4542-b0f4-dca5f2873dc2
3105,,,,,25048323.54,24946709.81,101613.73,2023-10-05T00:00:00.000Z,,,5e56419d2ab2a38bf8f14bf518642a76b9559284,2023-10-05T06:03:23.698Z,ba28881a-694c-4f4a-8a02-cb10a8e37586
3106,,,,,1863094.36,1863094.36,,2023-10-05T00:00:00.000Z,,,3c149728fb401491e0871519a33e240407d027d7,2023-10-05T06:03:23.698Z,ae888505-7a66-4e0b-81e1-118090c66752
4516,1032,5979652.05,,5979652.05,254919496.6,247376660.8,,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,254706.27,4c80b6ef63f3519c40326f10a8efbcd6846eb3c9,2023-10-05T05:42:48.731Z,3db71437-6948-4954-958a-9bcfda14739d
3107,,,,,11978567.7,11938317.8,40249.9,2023-10-05T00:00:00.000Z,,,8ba627190cbd4b3f56ed0eb4d6bfdf592b583966,2023-10-05T06:03:23.698Z,35def882-7dca-40a9-8413-4e48cc6f72a9
4561,,,,,1219862.52,963542.16,168289.04,2023-10-05T00:00:00.000Z,,0,9f3c658dd295a77be4033f8715ba98ff786ae45b,2023-10-05T03:42:25.243Z,8a794ed1-5363-4cad-a33c-ede108c87b6a
